,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,1.0,1.0,1.0,1.0,1.0,0.904599293198563,0.8384241611636082,0.8192025559704369,0.8553250580941918,0.879052112009445
1,0.80317228272245,0.7716160082607776,0.7976148345774137,0.8808642468299143,0.8281986209405062,0.8672232405870889,0.8769388025204202,0.8427889745850594,0.8436107179227716,0.8080736006197676
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,0.6557934006678481,0.8886133029076276,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8628045751162732,0.8912981252838965,0.8498292887520216,0.8868709036476423,0.8619220950141593,0.8025012852402369,0.8545708395556035,0.9432616649267568,1.0,1.0
6,0.43906026803174186,0.5471750682303073,0.42686829234886103,0.5090959437721312,0.3756565666736269,0.40052527040214797,0.49915007910713033,0.5085877842595949,0.5467506765467813,0.45030687898351707
7,0.7204473472631086,0.724400505733254,0.6772948058641997,0.7425436026357445,0.7501313003973966,0.7593427833440539,0.8414042085069329,0.8519133083916174,0.8711398775535458,0.8553921913627651
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,0.9977692422605206,1.0,1.0,1.0,1.0,1.0,0.538656813545401
10,0.7528409990638087,0.7560604531086372,0.7524568024148834,0.8020485684530251,0.744597598211166,0.7875092257727109,0.6049369785272288,0.7754480410742041,0.7694011001007476,0.7859990259158575
11,0.7108144588599073,0.7336721368854641,0.7171896667918579,0.7731701463239609,0.7113496009375544,0.7452841776259853,0.7109811880043555,0.7515703261885173,0.7552387805405243,0.7523544430154309
12,1.0,0.9691624502827765,0.9683870864912213,0.9677608286680883,0.9549517214187931,1.0,1.0,0.9973103717878178,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.7935705989943947,0.8348095775129166,0.7654365793796124,0.823278081326392,0.743925879965651,0.7764377011149094,0.8190383444746003,0.7961143968949304,0.8220265206825892,0.7898592703403221
16,0.6714652471602734,0.6651793753536371,0.636283737436156,0.7051396755402026,0.6726722935319228,0.6384758026247819,0.5960458767842707,0.6114864217418815,0.6122893976889673,0.615002173949532
17,0.9487097868735319,0.7448681982734761,0.9904808823721848,1.0,1.0,1.0,0.9973189060098948,0.9214530323083775,0.9681639937375963,0.9742129290877226
18,1.0,1.0,1.0,0.9542664749499717,0.9522962390639975,1.0,1.0,1.0,1.0,1.0
19,0.3708623257196933,0.3586436875347952,0.3915751746182164,0.4275048762144276,0.4099542198470922,0.4202694845857155,0.3935604616861395,0.38496516542259496,0.4033498204629431,1.0
20,0.41689055346136356,0.42137608523429965,0.4619047050974257,0.5481409898390686,0.5232032392042105,0.5110323456021363,0.5247741772349822,0.5424907555931052,0.48864262588810015,1.0
21,0.5494394275762665,0.5943624634608905,0.5507105762547226,0.6936785337522516,0.6764886813855551,0.6874161698234206,0.755874704104311,0.7605446921007649,1.0,1.0
22,0.8390612855549362,0.8300427943588952,0.8010448611424507,0.835125221267419,0.8013974663580672,0.8221909380730078,0.7461724416228901,0.9171308174764908,0.9450411142249782,0.9281383519284182
23,0.6874544767548811,0.6884286703154097,0.6838822400351655,0.6948857031235247,0.6874027177526615,0.6888411216800215,0.6778074193258893,0.6637505814118078,0.6688368366410954,0.7110688306265229
